date,result,gc_result_on_stage,race,distance,pointspcs,pointsuci,stage,rider,team
NA,3,NA,Womens Herald Sun Tour (2.2),NA,NA,NA,Mountains classification,Annemiek van Vleuten,Mitchelton-Scott
NA,3,NA,Womens Herald Sun Tour (2.2),NA,NA,NA,Points classification,Annemiek van Vleuten,Mitchelton-Scott
NA,2,NA,Womens Herald Sun Tour (2.2),NA,30,30,General classification,Annemiek van Vleuten,Mitchelton-Scott
2018-01-31,1,NA,Womens Herald Sun Tour (2.2),1.6,8,8,Stage 2 (ITT) - Melbourne › Melbourne,Annemiek van Vleuten,Mitchelton-Scott
2018-01-30,2,2,Womens Herald Sun Tour (2.2),123.5,5,5,Stage 1 - Healesville › Healesville,Annemiek van Vleuten,Mitchelton-Scott
NA,3,NA,Santos Women's Tour (2.1),NA,NA,NA,Mountains classification,Annemiek van Vleuten,Mitchelton-Scott
NA,15,NA,Santos Women's Tour (2.1),NA,NA,NA,Points classification,Annemiek van Vleuten,Mitchelton-Scott
NA,6,NA,Santos Women's Tour (2.1),NA,16,25,General classification,Annemiek van Vleuten,Mitchelton-Scott
2018-01-14,23,NA,Santos Women's Tour (2.1),46,NA,NA,Stage 4 - Wakefield Road › Wakefield Road,Annemiek van Vleuten,Mitchelton-Scott
2018-01-13,12,6,Santos Women's Tour (2.1),122.4,NA,NA,Stage 3 - The Bend Motorsport Park › Hahndorf,Annemiek van Vleuten,Mitchelton-Scott
2018-01-12,4,4,Santos Women's Tour (2.1),102,5,6,Stage 2 - Lyndoch › Mengler's Hill,Annemiek van Vleuten,Mitchelton-Scott
2018-01-11,30,30,Santos Women's Tour (2.1),115.7,NA,NA,Stage 1 - Gumeracha › Gumeracha,Annemiek van Vleuten,Mitchelton-Scott
2017-09-23,4,NA,World Championships WE - Road Race (WC),152.8,130,130,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-09-19,1,NA,World Championships WE - ITT (WC),21.1,100,120,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-08-29,1,1,Prologue - Wageningen › Wageningen,4.3,30,25,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-07-20,1,NA,La Course by Le Tour de France (1.WWT),67.5,100,120,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-06-24,6,NA,National Championships Netherlands WE - Road Race (NC),132,NA,NA,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-06-21,1,NA,National Championships Netherlands WE - ITT (NC),25,3,3,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-05-16,1,NA,Durango-Durango Emakumeen Saria (1.2),121,40,40,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-04-23,5,NA,Liège-Bastogne-Liège Femmes (1.WWT),135.5,25,60,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-04-19,4,NA,La Flèche Wallonne Féminine (1.WWT),120,30,70,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-04-16,4,NA,Amstel Gold Race (1.WWT),121,40,85,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-04-02,4,NA,Ronde van Vlaanderen / Tour des Flandres WE (1.WWT),153.3,30,70,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-03-26,14,NA,Gent-Wevelgem In Flanders Fields WE (1.WWT),146,4,14,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-03-22,12,NA,Dwars Door Vlaanderen / A travers la Flandre WE (1.1),114.4,3,8,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-03-19,6,NA,Trofeo Alfredo Binda - Comune di Cittiglio (1.WWT),131.3,20,50,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-03-12,30,NA,Drentse Acht van Westerveld (1.2),143.1,NA,NA,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-03-11,5,NA,Women's WorldTour Ronde van Drenthe (1.WWT),152.2,25,60,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-03-04,5,NA,Strade Bianche WE (1.WWT),127,25,60,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-02-26,24,NA,Spar - Omloop van het Hageland - Tielt-Winge (1.1),126.6,NA,NA,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-02-25,3,NA,Omloop Het Nieuwsblad WE (1.1),122,32,45,One day,Annemiek van Vleuten,Mitchelton-Scott
2017-01-28,1,NA,Cadel Evans Great Ocean Road Race (1.2),113,40,40,One day,Annemiek van Vleuten,Mitchelton-Scott
NA,6,NA,Boels Rental Ladies Tour (2.WWT),NA,NA,NA,Mountains classification,Annemiek van Vleuten,Mitchelton-Scott
NA,2,NA,Boels Rental Ladies Tour (2.WWT),NA,NA,NA,Points classification,Annemiek van Vleuten,Mitchelton-Scott
NA,1,NA,Boels Rental Ladies Tour (2.WWT),NA,150,120,General classification,Annemiek van Vleuten,Mitchelton-Scott
2017-09-03,22,NA,Boels Rental Ladies Tour (2.WWT),157.1,NA,NA,Stage 6 - Sittard › Sittard,Annemiek van Vleuten,Mitchelton-Scott
2017-09-02,2,1,Boels Rental Ladies Tour (2.WWT),137.5,18,20,Stage 5 - Stramproy › Vaals,Annemiek van Vleuten,Mitchelton-Scott
2017-09-01,9,1,Boels Rental Ladies Tour (2.WWT),121.4,NA,6,Stage 4 - Gennep › Weert,Annemiek van Vleuten,Mitchelton-Scott
2017-08-31,1,1,Boels Rental Ladies Tour (2.WWT),16.9,30,25,Stage 3 (ITT) - Roosendaal › Roosendaal,Annemiek van Vleuten,Mitchelton-Scott
2017-08-30,19,1,Boels Rental Ladies Tour (2.WWT),132.8,NA,NA,Stage 2 - Eibergen › Arnhem,Annemiek van Vleuten,Mitchelton-Scott
NA,1,NA,Giro d'Italia Internazionale Femminile (2.WWT),NA,NA,NA,Mountains classification,Annemiek van Vleuten,Mitchelton-Scott
NA,1,NA,Giro d'Italia Internazionale Femminile (2.WWT),NA,NA,NA,Points classification,Annemiek van Vleuten,Mitchelton-Scott
NA,3,NA,Giro d'Italia Internazionale Femminile (2.WWT),NA,90,85,General classification,Annemiek van Vleuten,Mitchelton-Scott
2017-07-09,4,NA,Giro d'Italia Internazionale Femminile (2.WWT),124,7,16,Stage 10 - Torre del Greco › Torre del Greco,Annemiek van Vleuten,Mitchelton-Scott
2017-07-08,22,3,Giro d'Italia Internazionale Femminile (2.WWT),122.3,NA,NA,Stage 9 - Palinuro › Polla,Annemiek van Vleuten,Mitchelton-Scott
2017-07-07,4,3,Giro d'Italia Internazionale Femminile (2.WWT),141.8,7,16,Stage 8 - Baronissi › Palinuro,Annemiek van Vleuten,Mitchelton-Scott
2017-07-06,21,3,Giro d'Italia Internazionale Femminile (2.WWT),141.98,NA,NA,Stage 7 - Isernia › Baronissi,Annemiek van Vleuten,Mitchelton-Scott
